id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1304049,Private room near UIC Medical Dist.,7089017,Sharon,,Near West Side,41.86967,-87.68284,Private room,103,1,110,2021-10-14,1.09,1,365,7,R17000015307
1321332,Lincoln Park Single Family Home,946954,Jeff,,Lincoln Park,41.93089,-87.66946,Entire home/apt,455,2,94,2021-11-20,0.95,1,323,17,2262746
1333431,2 BR suite w/ 3 beds near McCormick/Lake Michigan,5684259,Marva,,Oakland,41.8199,-87.59992,Private room,182,1,14,2021-10-11,0.16,4,364,8,R17000015678
1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,,Logan Square,41.91984,-87.68962,Private room,86,3,334,2021-11-28,3.33,1,309,26,R17000015398
1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Private room,101,1,42,2021-05-23,0.44,6,365,1,R20000058693
1369384,Private bed & bath w/garage parking,7385510,Anna,,Irving Park,41.95595,-87.71111,Private room,61,2,125,2018-11-25,1.23,1,102,0,R17000015330
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96909,-87.67407,Entire home/apt,175,3,24,2019-09-16,0.24,1,290,0,R20000053600
1461451,02b. Twin bed in Coed Space,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,16,1,167,2021-12-01,1.64,17,176,10,R17000015667
1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,,Grand Boulevard,41.81248,-87.61654,Private room,55,2,123,2020-02-16,1.21,1,364,0,R20000054139
1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,16,1,99,2020-08-30,0.97,17,151,0,City registration pending
1488883,Private Room & Bath | Beautiful Apt,517499,Derek,,Lake View,41.95418,-87.65363,Private room,90,3,48,2021-11-16,0.48,2,7,7,R21000073886
1502674,The Biddle House (#2),33004,At Home Inn,,Lincoln Park,41.91175,-87.63834,Entire home/apt,148,4,68,2021-11-28,0.68,8,103,28,2120298
1502700,The Biddle House,33004,At Home Inn,,Lincoln Park,41.91184,-87.63963,Entire home/apt,279,30,16,2019-09-02,0.17,8,72,0,"2120298, 2120297"
1516154,Best Location Millennium Park Extended Stay POOL,3965428,Rob,,Loop,41.88599,-87.61782,Entire home/apt,165,31,18,2015-08-16,0.18,88,365,0,City registration pending
1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71554,-87.67197,Private room,65,2,177,2021-11-08,1.76,1,359,11,R17000013891
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85592,-87.66249,Private room,41,2,231,2021-12-13,4.85,2,58,44,R19000050551
1584422,"Magic Factory, Chef kitchen, art, dine, relax 3bdr",2810938,Carole,,Near North Side,41.90532,-87.64761,Entire home/apt,208,3,30,2021-09-23,0.30,3,63,4,2555923
1591370,Private Northside Chicago Apt Near Beach & Transit,8489460,Holly + Mark,,Rogers Park,42.01177,-87.67758,Entire home/apt,115,2,142,2021-11-26,1.41,1,356,40,R17000014405
1614802,"Contemporary, private suite w fireplace",8595700,Carin,,Lake View,41.93455,-87.66141,Private room,64,4,290,2021-11-19,3.11,1,283,15,R17000014283
1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,,Lincoln Park,41.92817,-87.64282,Private room,92,1,35,2021-11-18,0.35,1,89,24,R20000060040
1623463,East Pilsen,8463536,Maximiliano,,Lower West Side,41.85922,-87.64592,Entire home/apt,103,2,50,2021-08-17,0.89,1,60,10,R21000072963
